id_cliente,data_entrada,data_saida
18.287,2023-06-24,
18.280,2023-06-24,
18.273,2023-06-24,
18.266,2023-06-24,
18.259,2023-06-24,
18.252,2023-06-24,
18.245,2023-06-24,
18.238,2023-06-24,
18.231,2023-06-24,
18.224,2023-06-24,
18.217,2023-06-24,
18.210,2023-06-24,
18.203,2023-06-24,
18.196,2023-06-24,
18.189,2023-06-24,
18.182,2023-06-24,
18.175,2023-06-24,
18.140,2023-06-24,
18.056,2023-06-24,
18.042,2023-06-24,
18.028,2023-06-24,
18.021,2023-06-24,
18.014,2023-06-24,
18.007,2023-06-24,
18.000,2023-06-24,
17.993,2023-06-24,
17.986,2023-06-24,
17.979,2023-06-23,
17.972,2023-06-27,
17.965,2023-07-04,
17.958,2023-06-23,
17.951,2023-06-28,
17.944,2023-06-28,
17.930,2023-06-15,
17.923,2023-06-28,
17.916,2023-07-04,
17.909,2023-06-22,
17.867,2023-06-23,
17.839,2023-06-21,
17.832,2023-06-20,
17.818,2023-06-20,
17.811,2023-06-20,
17.804,2023-06-22,
17.797,2023-06-28,
17.790,2023-06-23,
17.776,2023-07-03,
17.769,2023-06-16,
17.755,2023-07-04,
17.748,2023-06-23,
17.720,2023-06-23,
17.699,2023-06-26,
17.692,2023-06-23,
17.685,2023-06-23,
17.510,2023-06-29,
17.503,2023-05-26,
17.496,2023-05-24,
17.489,2023-06-02,
17.482,2023-06-12,2023-07-07
17.475,2023-06-07,
17.468,2023-06-29,
17.433,2023-06-22,
17.426,2023-06-26,
17.412,2023-06-26,
17.405,2023-07-27,
17.398,2023-07-25,
17.391,2023-06-19,
17.384,2023-06-23,
17.349,2023-06-02,
17.342,2023-06-19,
17.335,2023-04-28,
17.328,2023-06-21,
17.314,2023-07-10,
17.307,2023-06-01,
17.300,2023-06-01,
17.293,2023-06-27,
17.286,2023-07-05,
17.279,2023-07-06,
17.265,2023-06-20,
17.258,2023-06-29,
17.251,2023-06-28,
17.244,2023-06-26,
17.237,2023-06-20,
17.230,2023-06-21,
17.209,2023-06-27,
17.202,2023-06-27,
17.188,2023-06-20,
17.181,2023-06-26,
17.174,2023-06-22,
17.167,2023-07-27,
17.125,2023-06-23,
17.118,2023-06-23,
17.111,2023-06-16,
17.097,2023-06-26,
17.090,2023-06-15,
17.062,2023-07-04,
17.055,2023-06-26,
17.048,2023-06-21,
17.027,2023-06-28,
17.020,2023-06-28,
17.013,2023-06-07,
17.006,2023-06-21,
16.985,2023-06-07,
16.978,2023-06-07,
16.971,2023-05-27,
16.957,2023-06-26,
16.915,2023-06-20,
16.908,2023-06-21,
16.901,2023-07-27,
16.894,2023-06-12,
16.873,2023-06-20,
16.845,2023-08-31,2023-09-14
16.838,2023-07-12,
16.831,2023-06-01,
16.824,2023-05-26,
16.817,2023-05-26,
16.810,2023-05-26,2023-06-27
16.803,2023-05-26,
16.796,2023-05-26,
16.789,2023-05-26,
16.782,2023-05-26,
16.775,2023-05-26,
16.768,2023-05-26,
16.761,2023-05-26,
16.747,2023-06-20,
16.726,2023-06-19,
16.712,2023-05-24,
16.698,2023-07-03,
16.691,2023-06-22,
16.684,2023-07-06,
16.677,2023-06-22,
16.670,2023-06-07,
16.663,2023-05-19,
16.656,2023-05-18,
16.649,2023-05-17,
16.642,2023-05-29,
16.635,2023-07-26,
16.628,2023-06-21,
16.621,2023-06-27,
16.614,2023-06-28,
16.607,2023-05-24,2023-08-01
16.600,2023-05-17,
16.593,2023-05-30,
16.586,2023-05-13,2023-05-13
16.572,2023-06-05,
16.537,2023-06-13,
16.516,2023-05-19,
16.502,2023-05-11,
16.488,2023-05-10,
16.474,2023-05-16,
16.467,2023-05-11,
16.460,2023-05-11,
16.229,2023-05-19,
16.110,2023-06-21,2023-08-18
16.096,2023-05-29,
16.089,2023-05-12,2023-05-12
16.082,2023-05-18,
16.075,2023-05-25,
16.061,2023-05-19,
16.054,2023-06-05,
16.047,2023-05-04,
16.040,2023-08-31,
16.012,2023-05-05,
15.998,2023-04-28,
15.991,2023-05-11,
15.984,2023-05-16,
15.977,2023-05-19,
15.970,2023-05-29,
15.963,2023-06-23,
15.956,2023-05-25,
15.949,2023-05-29,
15.942,2023-05-25,
15.935,2023-06-22,
15.928,2023-05-30,
15.921,2023-05-22,
15.914,2023-05-25,
15.907,2023-05-18,
15.900,2023-06-22,
15.893,2023-05-22,
15.886,2023-05-17,
15.872,2023-05-15,
15.865,2023-07-17,
15.858,2023-05-15,
15.851,2023-05-17,
15.844,2023-05-15,2023-08-24
15.837,2023-05-15,
15.830,2023-04-28,
15.823,2023-05-16,
15.816,2023-04-25,
15.802,2023-04-25,
15.795,2023-04-14,
15.788,2023-04-25,
15.781,2023-04-25,2023-05-19
15.774,2023-04-25,
15.767,2023-05-12,
15.760,2023-04-25,
15.753,2023-05-11,
15.746,2023-05-10,
15.739,2023-05-09,
15.732,2023-05-08,
15.725,2023-05-08,
15.718,2023-06-20,
15.711,2023-05-15,
15.704,2023-05-17,
15.697,2023-04-28,
15.690,2023-05-11,
15.662,2023-05-08,2023-08-30
14.969,2023-05-03,
14.962,2023-04-27,
14.906,2023-04-26,2023-04-28
14.857,2023-04-19,
14.829,2023-04-20,
14.822,2023-05-12,2023-05-17
14.815,2023-04-17,
14.808,2023-05-05,
14.801,2023-04-14,
14.794,2023-05-03,2023-07-28
14.787,2023-04-14,
14.773,2023-05-05,
14.766,2023-04-12,
14.759,2023-04-19,
14.745,2023-04-05,2023-04-05
14.738,2023-04-10,
14.731,2023-04-19,
14.724,2023-04-12,
14.689,2023-04-11,
14.682,2023-04-11,
14.675,2023-04-13,
14.668,2023-04-06,
14.605,2023-04-05,
14.591,2023-04-14,
14.584,2023-04-12,
14.577,2023-05-11,
14.542,2023-04-04,
14.535,2023-04-28,
14.528,2023-04-04,
14.514,2023-04-10,
14.507,2023-04-10,
14.500,2023-04-05,
14.493,2023-04-04,2023-04-19
14.486,2023-04-04,
14.479,2023-04-04,
14.395,2023-04-04,
14.388,2023-04-24,
14.367,2023-04-05,
14.353,2023-03-29,
14.346,2023-03-28,
14.339,2023-03-29,
14.332,2023-03-28,
14.318,2023-04-11,
14.311,2023-03-27,
